Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Alondes Williams,DET,ORL,L,3.72,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,5,5.1,2024-11-23
Tre Jones,SAS,GSW,W,23.07,1,3,0.333,0,2,0.0,0,0,0.0,3,3,6,3,0,0,0,1,2,5.0,2024-11-23
Cam Reddish,LAL,DEN,L,19.88,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,2,0,1,2,6,4.9,2024-11-23
Moussa Diabaté,CHO,MIL,L,31.48,0,4,0.0,0,0,0.0,0,0,0.0,7,4,11,2,2,1,1,4,0,4.8,2024-11-23
Julian Strawther,DEN,LAL,W,19.33,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,1,0,0,0,3,6,4.8,2024-11-23
Dalano Banton,POR,HOU,W,21.5,2,9,0.222,2,5,0.4,1,2,0.5,0,6,6,5,0,1,1,4,7,4.5,2024-11-23
Paul Reed,DET,ORL,L,5.6,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,5,4.4,2024-11-23
Tari Eason,HOU,POR,L,19.53,0,7,0.0,0,1,0.0,4,4,1.0,3,2,5,0,2,1,0,1,4,4.1,2024-11-23
Jalen Green,HOU,POR,L,29.52,3,14,0.214,1,9,0.111,3,4,0.75,0,2,2,2,1,0,0,0,10,4.0,2024-11-23
Draymond Green,GSW,SAS,L,26.68,0,5,0.0,0,3,0.0,1,2,0.5,2,5,7,8,0,1,0,6,1,3.9,2024-11-23
Kyle Anderson,GSW,SAS,L,12.88,3,5,0.6,0,1,0.0,0,1,0.0,0,5,5,1,0,0,1,2,6,3.7,2024-11-23
Chris Duarte,CHI,MEM,L,4.6,1,1,1.0,1,1,1.0,0,0,0.0,1,1,2,0,0,0,0,0,3,3.7,2024-11-23
Moses Moody,GSW,SAS,L,21.82,2,8,0.25,0,2,0.0,2,2,1.0,1,0,1,1,1,0,0,0,6,3.6,2024-11-23
Kris Murray,POR,HOU,W,14.2,3,7,0.429,1,4,0.25,0,0,0.0,0,1,1,1,0,1,1,1,7,3.6,2024-11-23
D'Angelo Russell,LAL,DEN,L,18.25,2,9,0.222,1,6,0.167,2,2,1.0,0,2,2,5,0,0,2,0,7,3.6,2024-11-23
DeAndre Jordan,DEN,LAL,W,4.72,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,2,3.4,2024-11-23
Malaki Branham,SAS,GSW,W,12.87,2,5,0.4,0,2,0.0,2,2,1.0,1,1,2,1,0,0,1,2,6,3.2,2024-11-23
Tyler Kolek,NYK,UTA,L,10.95,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,1,1,1,0,1,3,3.2,2024-11-23
Reed Sheppard,HOU,POR,L,11.35,3,6,0.5,2,4,0.5,0,0,0.0,0,0,0,0,0,0,1,2,8,3.2,2024-11-23
Gabe Vincent,LAL,DEN,L,13.77,3,5,0.6,1,3,0.333,0,0,0.0,0,0,0,1,0,0,1,3,7,3.2,2024-11-23
Gary Payton,GSW,SAS,L,12.9,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,1,1,2,5,2.9,2024-11-23
Jalen Duren,DET,ORL,L,24.58,2,5,0.4,0,0,0.0,3,4,0.75,1,3,4,1,0,1,3,3,7,2.7,2024-11-23
Taurean Prince,MIL,CHO,W,21.58,2,5,0.4,2,3,0.667,2,2,1.0,1,4,5,0,0,0,3,4,8,2.6,2024-11-23
Jericho Sims,NYK,UTA,L,9.25,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,2,2.6,2024-11-23
Jock Landale,HOU,POR,L,11.9,0,1,0.0,0,1,0.0,0,2,0.0,2,4,6,1,0,1,0,0,0,2.5,2024-11-23
Simone Fontecchio,DET,ORL,L,16.0,1,3,0.333,1,2,0.5,1,2,0.5,0,2,2,0,0,1,0,2,4,2.4,2024-11-23
Taj Gibson,CHO,MIL,L,4.4,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,2.3,2024-11-23
Hunter Tyson,DEN,LAL,W,2.73,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,1,0,0,0,0,1,2.3,2024-11-23
Christian Koloko,LAL,DEN,L,10.33,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,1,0,1,0,2.2,2024-11-23
Jake LaRavia,MEM,CHI,W,18.47,1,6,0.167,0,2,0.0,0,0,0.0,1,3,4,6,0,0,1,2,2,2.2,2024-11-23
Jevon Carter,CHI,MEM,L,4.6,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,0,3,1.7,2024-11-23
Cory Joseph,ORL,DET,W,2.63,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.7,2024-11-23
Jalen Suggs,ORL,DET,W,9.02,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,0,2,1.7,2024-11-23
Trey Alexander,DEN,LAL,W,10.12,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,1.6,2024-11-23
Fred VanVleet,HOU,POR,L,28.4,4,13,0.308,0,6,0.0,0,0,0.0,0,5,5,5,1,0,3,5,8,1.5,2024-11-23
Duop Reath,POR,HOU,W,4.77,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,1.4,2024-11-23
Cam Spencer,MEM,CHI,W,11.62,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,1.2,2024-11-23
Isaiah Collier,UTA,NYK,W,10.72,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,1,2,1.0,2024-11-23
Seth Curry,CHO,MIL,L,4.4,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,2024-11-23
PJ Hall,DEN,LAL,W,2.7,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0.6,2024-11-23
Tim Hardaway,DET,ORL,L,26.93,1,4,0.25,1,4,0.25,0,1,0.0,1,0,1,0,0,0,0,1,3,0.5,2024-11-23
Cole Anthony,ORL,DET,W,10.43,1,6,0.167,0,2,0.0,2,2,1.0,1,1,2,1,0,0,1,2,4,0.1,2024-11-23
Pacome Dadiet,NYK,UTA,L,3.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-23
Maxwell Lewis,LAL,DEN,L,4.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-23
Jordan Clarkson,UTA,NYK,W,24.7,2,9,0.222,0,0,0.0,0,0,0.0,2,2,4,6,0,0,4,2,4,-0.1,2024-11-23
Dalen Terry,CHI,MEM,L,12.8,1,5,0.2,0,3,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,-0.4,2024-11-23
Zach Collins,SAS,GSW,W,12.13,0,4,0.0,0,1,0.0,0,0,0.0,1,3,4,1,0,1,0,2,0,-0.6,2024-11-23
Drew Eubanks,UTA,NYK,W,12.78,1,6,0.167,0,0,0.0,0,2,0.0,2,4,6,1,0,0,1,1,2,-0.7,2024-11-23
Zeke Nnaji,DEN,LAL,W,2.73,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-11-23
Rayan Rupert,POR,HOU,W,5.5,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-0.7,2024-11-23
Dario Šarić,DEN,LAL,W,3.97,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-0.7,2024-11-23
Brandin Podziemski,GSW,SAS,L,15.57,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,0,1,0,0,-0.8,2024-11-23
Cole Swider,DET,ORL,L,3.72,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,2024-11-23
Armel Traoré,LAL,DEN,L,4.38,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,1,0,-0.9,2024-11-23
Torrey Craig,CHI,MEM,L,8.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.2,2024-11-23
Toumani Camara,POR,HOU,W,28.28,2,10,0.2,1,5,0.2,0,2,0.0,1,4,5,1,1,1,2,4,5,-1.3,2024-11-23
Caleb Houstan,ORL,DET,W,5.6,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,2024-11-23
Delon Wright,MIL,CHO,W,13.3,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-1.4,2024-11-23
Cody Williams,UTA,NYK,W,8.85,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-1.5,2024-11-23
Mikal Bridges,NYK,UTA,L,32.6,3,15,0.2,1,7,0.143,0,0,0.0,0,3,3,0,1,1,2,0,7,-1.7,2024-11-23
Ron Holland,DET,ORL,L,15.97,1,6,0.167,0,2,0.0,2,2,1.0,0,4,4,0,0,0,3,3,4,-2.8,2024-11-23
Vasilije Micić,CHO,MIL,L,8.32,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-2.9,2024-11-23
Jimmy Butler,MIA,DAL,W,38.08,11,17,0.647,0,0,0.0,11,16,0.688,3,6,9,6,1,2,3,1,33,30.6,2024-11-24
De'Aaron Fox,SAC,BRK,L,37.88,10,16,0.625,3,4,0.75,8,12,0.667,0,1,1,5,2,0,2,1,31,25.6,2024-11-24
Jarrett Allen,CLE,TOR,W,32.32,10,14,0.714,0,0,0.0,3,5,0.6,6,7,13,2,1,1,0,2,23,25.0,2024-11-24
Ty Jerome,CLE,TOR,W,28.4,9,14,0.643,4,8,0.5,4,4,1.0,0,3,3,6,4,1,3,4,26,25.0,2024-11-24
Cam Thomas,BRK,SAC,W,36.33,11,22,0.5,4,10,0.4,8,11,0.727,0,2,2,6,0,0,1,3,34,24.4,2024-11-24
Jaylen Brown,BOS,MIN,W,36.43,10,18,0.556,7,10,0.7,2,2,1.0,1,1,2,4,1,1,1,4,29,23.3,2024-11-24
James Harden,LAC,PHI,W,27.1,4,10,0.4,3,7,0.429,12,12,1.0,0,2,2,8,1,0,4,1,23,20.4,2024-11-24
Anthony Edwards,MIN,BOS,L,39.28,9,21,0.429,6,11,0.545,4,4,1.0,0,9,9,7,0,0,3,3,28,20.3,2024-11-24
Pascal Siakam,IND,WAS,W,33.58,7,14,0.5,2,3,0.667,6,6,1.0,1,5,6,6,1,0,1,3,22,20.2,2024-11-24
Derrick White,BOS,MIN,W,37.93,7,12,0.583,4,9,0.444,1,2,0.5,2,7,9,5,1,2,2,2,19,19.6,2024-11-24
P.J. Washington,DAL,MIA,L,39.82,7,14,0.5,1,2,0.5,6,7,0.857,3,7,10,3,2,0,2,2,21,19.1,2024-11-24
Jayson Tatum,BOS,MIN,W,38.42,8,21,0.381,5,12,0.417,5,6,0.833,0,8,8,4,2,0,1,4,26,18.7,2024-11-24
Derrick Jones,LAC,PHI,W,24.63,7,10,0.7,1,1,1.0,3,4,0.75,1,2,3,2,3,0,0,2,18,18.3,2024-11-24
Ivica Zubac,LAC,PHI,W,25.37,8,10,0.8,0,0,0.0,0,1,0.0,3,9,12,4,0,1,2,0,16,18.1,2024-11-24
Dereck Lively,DAL,MIA,L,30.78,7,9,0.778,0,0,0.0,0,0,0.0,3,10,13,4,0,2,1,2,14,18.0,2024-11-24
Scottie Barnes,TOR,CLE,L,34.08,5,14,0.357,1,6,0.167,7,12,0.583,1,6,7,7,3,1,1,1,18,17.9,2024-11-24
Bilal Coulibaly,WAS,IND,L,38.28,4,9,0.444,2,5,0.4,7,8,0.875,2,4,6,4,1,2,1,2,17,17.9,2024-11-24
Tyrese Haliburton,IND,WAS,W,34.28,7,18,0.389,5,11,0.455,2,2,1.0,3,1,4,9,2,0,3,3,21,17.7,2024-11-24
Julius Randle,MIN,BOS,L,35.8,7,15,0.467,1,4,0.25,8,13,0.615,2,4,6,2,0,0,0,1,23,16.9,2024-11-24
Rudy Gobert,MIN,BOS,L,34.48,4,5,0.8,0,0,0.0,2,2,1.0,8,12,20,0,0,0,0,2,10,16.5,2024-11-24
Donovan Mitchell,CLE,TOR,W,34.65,10,18,0.556,5,9,0.556,1,1,1.0,0,4,4,1,1,0,3,2,26,16.5,2024-11-24
Kyrie Irving,DAL,MIA,L,39.32,9,21,0.429,3,12,0.25,6,7,0.857,0,4,4,6,0,0,3,4,27,16.3,2024-11-24
Keegan Murray,SAC,BRK,L,36.13,7,14,0.5,1,5,0.2,6,8,0.75,3,5,8,2,1,1,2,4,21,16.3,2024-11-24
Jakob Poeltl,TOR,CLE,L,33.02,5,12,0.417,0,1,0.0,2,3,0.667,8,11,19,2,1,2,1,2,12,16.1,2024-11-24
Alex Sarr,WAS,IND,L,31.3,7,15,0.467,1,4,0.25,2,4,0.5,3,11,14,3,1,2,2,2,17,15.6,2024-11-24
Isaac Okoro,CLE,TOR,W,28.72,4,4,1.0,2,2,1.0,0,1,0.0,2,4,6,4,1,1,0,1,10,15.1,2024-11-24
Evan Mobley,CLE,TOR,W,32.82,6,11,0.545,0,2,0.0,2,2,1.0,3,8,11,4,1,1,2,3,14,14.5,2024-11-24
Alec Burks,MIA,DAL,W,30.72,5,9,0.556,4,8,0.5,1,2,0.5,0,2,2,3,1,1,0,1,15,14.3,2024-11-24
Domantas Sabonis,SAC,BRK,L,35.03,6,12,0.5,1,3,0.333,0,0,0.0,4,14,18,7,1,0,4,4,13,14.3,2024-11-24
Cameron Johnson,BRK,SAC,W,33.55,5,11,0.455,3,6,0.5,3,4,0.75,0,6,6,4,1,0,1,1,16,14.1,2024-11-24
Tyrese Maxey,PHI,LAC,L,29.87,5,13,0.385,3,6,0.5,4,4,1.0,0,4,4,4,2,0,1,2,17,14.1,2024-11-24
Klay Thompson,DAL,MIA,L,30.85,5,12,0.417,3,5,0.6,2,3,0.667,3,3,6,1,1,2,0,2,15,13.5,2024-11-24
Bam Adebayo,MIA,DAL,W,37.55,8,20,0.4,3,6,0.5,0,0,0.0,3,8,11,5,0,0,2,2,19,13.4,2024-11-24
Daniel Gafford,DAL,MIA,L,20.62,5,6,0.833,0,0,0.0,0,0,0.0,3,5,8,2,0,3,1,2,10,13.1,2024-11-24
Moses Brown,IND,WAS,W,12.47,6,8,0.75,0,0,0.0,3,5,0.6,1,3,4,0,0,1,0,2,15,12.5,2024-11-24
Noah Clowney,BRK,SAC,W,21.53,5,9,0.556,5,8,0.625,3,4,0.75,0,2,2,0,1,1,2,3,18,12.4,2024-11-24
Kyshawn George,WAS,IND,L,28.92,4,8,0.5,2,4,0.5,5,6,0.833,1,4,5,5,0,0,2,4,15,12.4,2024-11-24
Pelle Larsson,MIA,DAL,W,36.5,6,8,0.75,1,2,0.5,1,2,0.5,2,3,5,1,1,0,0,5,14,12.4,2024-11-24
Jonathan Mogbo,TOR,CLE,L,20.43,4,8,0.5,1,2,0.5,4,4,1.0,2,5,7,0,1,1,1,1,13,12.2,2024-11-24
Darius Garland,CLE,TOR,W,30.93,6,14,0.429,4,7,0.571,0,0,0.0,1,2,3,6,1,0,2,4,16,11.5,2024-11-24
Naji Marshall,DAL,MIA,L,30.42,8,16,0.5,3,5,0.6,1,3,0.333,2,3,5,1,0,0,2,2,20,11.4,2024-11-24
Myles Turner,IND,WAS,W,29.82,4,8,0.5,1,3,0.333,1,2,0.5,3,6,9,1,2,1,1,2,10,11.1,2024-11-24
Malcolm Brogdon,WAS,IND,L,25.1,5,13,0.385,1,4,0.25,4,4,1.0,0,1,1,5,1,0,1,2,15,10.9,2024-11-24
RJ Barrett,TOR,CLE,L,32.95,6,18,0.333,2,6,0.333,2,6,0.333,3,3,6,6,0,1,1,1,16,10.7,2024-11-24
Bennedict Mathurin,IND,WAS,W,39.25,4,12,0.333,1,6,0.167,7,8,0.875,1,5,6,4,0,0,2,3,16,10.6,2024-11-24
Obi Toppin,IND,WAS,W,15.87,5,6,0.833,1,1,1.0,0,0,0.0,1,2,3,0,0,1,0,1,11,10.4,2024-11-24
Kelly Oubre,PHI,LAC,L,30.78,6,11,0.545,0,4,0.0,0,0,0.0,2,3,5,3,2,2,3,3,12,10.3,2024-11-24
Reggie Jackson,PHI,LAC,L,12.67,3,4,0.75,1,2,0.5,0,0,0.0,1,0,1,4,2,0,1,0,7,9.9,2024-11-24
Terance Mann,LAC,PHI,W,22.03,5,6,0.833,1,2,0.5,2,4,0.5,0,1,1,1,1,0,1,3,13,9.8,2024-11-24
Rob Dillingham,MIN,BOS,L,15.55,6,10,0.6,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,1,14,9.7,2024-11-24
Jared McCain,PHI,LAC,L,27.88,3,15,0.2,2,11,0.182,10,12,0.833,0,0,0,4,0,0,1,0,18,9.7,2024-11-24
Shake Milton,BRK,SAC,W,21.03,4,6,0.667,2,4,0.5,0,0,0.0,0,2,2,3,1,0,1,1,10,9.7,2024-11-24
Tyler Herro,MIA,DAL,W,42.45,8,25,0.32,1,10,0.1,1,2,0.5,0,10,10,5,1,0,1,1,18,9.4,2024-11-24
T.J. McConnell,IND,WAS,W,22.18,6,10,0.6,0,0,0.0,0,0,0.0,1,3,4,3,0,0,1,2,12,9.3,2024-11-24
Gradey Dick,TOR,CLE,L,30.8,6,17,0.353,3,9,0.333,3,3,1.0,2,2,4,1,0,0,1,3,18,9.0,2024-11-24
Kris Dunn,LAC,PHI,W,22.5,4,5,0.8,1,1,1.0,0,0,0.0,1,2,3,1,2,0,1,3,9,8.9,2024-11-24
Donte DiVincenzo,MIN,BOS,L,28.9,4,8,0.5,3,6,0.5,0,0,0.0,0,3,3,2,1,1,2,1,11,8.6,2024-11-24
Chris Boucher,TOR,CLE,L,14.15,3,7,0.429,0,3,0.0,4,4,1.0,1,2,3,0,2,0,0,3,10,8.4,2024-11-24
DeMar DeRozan,SAC,BRK,L,35.72,7,18,0.389,0,2,0.0,4,6,0.667,1,4,5,5,0,0,3,4,18,8.2,2024-11-24
Corey Kispert,WAS,IND,L,36.03,6,14,0.429,3,11,0.273,0,0,0.0,0,2,2,1,1,0,2,0,15,7.9,2024-11-24
Ochai Agbaji,TOR,CLE,L,27.2,4,6,0.667,1,3,0.333,0,0,0.0,1,4,5,1,0,0,1,1,9,7.6,2024-11-24
Keon Ellis,SAC,BRK,L,22.9,3,5,0.6,3,4,0.75,0,1,0.0,1,0,1,1,1,0,1,1,9,7.3,2024-11-24
Payton Pritchard,BOS,MIN,W,22.35,3,7,0.429,1,5,0.2,1,1,1.0,1,3,4,3,0,0,0,2,8,7.2,2024-11-24
Eric Gordon,PHI,LAC,L,16.12,3,5,0.6,1,3,0.333,0,0,0.0,0,0,0,1,2,0,0,1,7,7.0,2024-11-24
Mohamed Bamba,LAC,PHI,W,17.12,3,5,0.6,1,2,0.5,0,0,0.0,1,3,4,0,0,2,0,2,7,6.9,2024-11-24
Jrue Holiday,BOS,MIN,W,36.52,3,10,0.3,1,6,0.167,2,2,1.0,1,3,4,3,1,1,1,2,9,6.8,2024-11-24
Nic Claxton,BRK,SAC,W,23.32,2,3,0.667,0,0,0.0,0,0,0.0,1,6,7,3,1,2,1,5,4,6.7,2024-11-24
Kevin Huerter,SAC,BRK,L,32.2,4,8,0.5,1,5,0.2,2,2,1.0,0,3,3,0,0,2,1,4,11,6.7,2024-11-24
Jonas Valančiūnas,WAS,IND,L,16.35,1,1,1.0,0,0,0.0,2,2,1.0,1,7,8,2,1,0,1,3,4,6.7,2024-11-24
Spencer Dinwiddie,DAL,MIA,L,27.92,1,12,0.083,0,9,0.0,5,5,1.0,0,5,5,7,2,1,0,4,7,6.5,2024-11-24
Ben Simmons,BRK,SAC,W,26.82,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,5,1,1,2,2,4,6.4,2024-11-24
Amir Coffey,LAC,PHI,W,25.18,2,5,0.4,2,5,0.4,1,2,0.5,0,3,3,2,0,0,0,0,7,6.2,2024-11-24
Kevin Love,MIA,DAL,W,18.7,3,10,0.3,3,7,0.429,0,2,0.0,2,9,11,1,1,1,2,2,9,6.1,2024-11-24
Kobe Brown,LAC,PHI,W,13.18,3,4,0.75,0,1,0.0,0,0,0.0,0,4,4,2,0,0,0,3,6,5.8,2024-11-24
Jordan Miller,LAC,PHI,W,22.8,3,6,0.5,1,2,0.5,0,0,0.0,1,3,4,3,1,1,2,4,7,5.8,2024-11-24
Kevin Porter,LAC,PHI,W,24.38,5,11,0.455,0,2,0.0,1,2,0.5,1,4,5,5,0,1,4,3,11,5.8,2024-11-24
Al Horford,BOS,MIN,W,33.7,3,10,0.3,2,9,0.222,0,0,0.0,0,4,4,4,0,2,1,3,8,5.4,2024-11-24
Jalen Wilson,BRK,SAC,W,33.17,2,4,0.5,2,3,0.667,1,2,0.5,2,2,4,2,0,0,1,4,7,5.4,2024-11-24
Anthony Gill,WAS,IND,L,6.13,2,2,1.0,1,1,1.0,0,1,0.0,0,0,0,0,1,0,0,0,5,5.0,2024-11-24
Keon Johnson,BRK,SAC,W,9.5,2,3,0.667,2,2,1.0,0,0,0.0,0,0,0,1,0,0,0,1,6,5.0,2024-11-24
KJ Martin,PHI,LAC,L,26.12,1,3,0.333,0,0,0.0,2,2,1.0,2,2,4,3,0,0,1,2,4,4.6,2024-11-24
Jaime Jaquez,MIA,DAL,W,19.17,2,7,0.286,0,1,0.0,3,3,1.0,1,2,3,1,0,0,0,1,7,4.5,2024-11-24
Johnny Furphy,IND,WAS,W,11.4,1,1,1.0,1,1,1.0,2,2,1.0,0,0,0,1,0,0,1,0,5,4.4,2024-11-24
Jarace Walker,IND,WAS,W,19.55,1,4,0.25,1,2,0.5,0,2,0.0,0,5,5,4,3,0,2,2,3,4.3,2024-11-24
Andre Drummond,PHI,LAC,L,14.28,2,3,0.667,0,0,0.0,2,2,1.0,2,3,5,1,0,1,3,3,6,4.2,2024-11-24
Sam Hauser,BOS,MIN,W,20.35,2,7,0.286,1,5,0.2,0,0,0.0,3,2,5,2,0,0,0,2,5,4.2,2024-11-24
Guerschon Yabusele,PHI,LAC,L,27.42,2,6,0.333,1,4,0.25,1,1,1.0,3,3,6,0,0,1,1,3,6,4.1,2024-11-24
Nicolas Batum,LAC,PHI,W,10.18,1,5,0.2,1,4,0.25,0,0,0.0,2,1,3,3,0,0,0,0,3,3.7,2024-11-24
Justin Edwards,PHI,LAC,L,5.52,2,3,0.667,0,1,0.0,0,1,0.0,0,2,2,1,0,0,0,0,4,3.6,2024-11-24
Ricky Council,PHI,LAC,L,18.8,3,10,0.3,1,6,0.167,2,2,1.0,0,0,0,1,0,0,0,1,9,3.5,2024-11-24
Haywood Highsmith,MIA,DAL,W,18.63,0,2,0.0,0,2,0.0,0,0,0.0,1,4,5,3,1,2,0,4,0,3.4,2024-11-24
Lester Quiñones,PHI,LAC,L,8.55,3,5,0.6,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,6,3.4,2024-11-24
Jamal Shead,TOR,CLE,L,16.32,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,2,1,0,2,3,6,3.1,2024-11-24
Carlton Carrington,WAS,IND,L,22.48,2,7,0.286,1,5,0.2,0,0,0.0,1,3,4,2,2,1,3,2,5,2.8,2024-11-24
Sam Merrill,CLE,TOR,W,19.77,1,6,0.167,1,4,0.25,0,0,0.0,1,3,4,3,0,0,0,1,3,2.5,2024-11-24
Nickeil Alexander-Walker,MIN,BOS,L,27.3,1,7,0.143,0,4,0.0,2,2,1.0,1,0,1,4,0,0,0,2,4,2.2,2024-11-24
Quentin Grimes,DAL,MIA,L,26.58,2,8,0.25,0,3,0.0,0,0,0.0,1,6,7,3,0,1,2,1,4,2.1,2024-11-24
Duncan Robinson,MIA,DAL,W,17.67,3,7,0.429,2,4,0.5,0,0,0.0,0,0,0,1,0,0,1,5,8,2.0,2024-11-24
Xavier Tillman,BOS,MIN,W,14.3,1,2,0.5,0,0,0.0,1,2,0.5,0,4,4,0,0,1,0,4,3,1.9,2024-11-24
Kyle Kuzma,WAS,IND,L,30.28,5,10,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,3,3,10,1.8,2024-11-24
Jaden McDaniels,MIN,BOS,L,31.6,4,13,0.308,2,6,0.333,0,0,0.0,0,5,5,1,0,0,1,5,10,1.7,2024-11-24
Bruno Fernando,TOR,CLE,L,1.05,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,2024-11-24
Bones Hyland,LAC,PHI,W,5.52,2,4,0.5,1,3,0.333,0,0,0.0,0,0,0,0,1,0,3,1,5,0.6,2024-11-24
Craig Porter,CLE,TOR,W,5.52,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,1,0,2,0,2,0.3,2024-11-24
Trendon Watford,BRK,SAC,W,14.67,1,5,0.2,0,1,0.0,1,2,0.5,0,3,3,0,2,1,2,2,3,0.3,2024-11-24
Quenton Jackson,IND,WAS,W,21.53,0,5,0.0,0,0,0.0,0,0,0.0,1,3,4,3,0,0,0,0,0,0.2,2024-11-24
Naz Reid,MIN,BOS,L,25.72,2,9,0.222,1,6,0.167,0,0,0.0,0,5,5,2,1,0,2,3,5,0.2,2024-11-24
Ziaire Williams,BRK,SAC,W,20.08,2,9,0.222,1,5,0.2,1,2,0.5,2,0,2,0,0,0,1,1,6,0.1,2024-11-24
Alex Len,SAC,BRK,L,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-24
Josh Minott,MIN,BOS,L,1.37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-24
Garrett Temple,TOR,CLE,L,1.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-24
Luke Travers,CLE,TOR,W,0.73,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2024-11-24
Jaylon Tyson,CLE,TOR,W,6.85,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,-0.1,2024-11-24
Adem Bona,PHI,LAC,L,8.55,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-0.2,2024-11-24
Trey Lyles,SAC,BRK,L,18.8,0,1,0.0,0,1,0.0,0,2,0.0,2,4,6,0,0,2,2,2,0,-0.3,2024-11-24
Nikola Jović,MIA,DAL,W,5.53,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-0.4,2024-11-24
Doug McDermott,SAC,BRK,L,4.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2024-11-24
Colby Jones,SAC,BRK,L,17.15,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,1,1,1,0,-0.5,2024-11-24
Davion Mitchell,TOR,CLE,L,24.63,2,4,0.5,2,3,0.667,0,2,0.0,0,1,1,3,1,0,6,3,6,-0.6,2024-11-24
Jamison Battle,TOR,CLE,L,4.32,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-11-24
Jared Butler,WAS,IND,L,5.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-0.7,2024-11-24
Caleb Martin,PHI,LAC,L,13.45,1,8,0.125,0,1,0.0,1,2,0.5,2,1,3,0,0,1,1,0,3,-1.2,2024-11-24
